body_mass_g,culmen_depth_mm,culmen_length_mm,flipper_length_mm,island,sex,species
4200,13.9,45.5,210,0,0,2
4650,13.7,40.9,214,0,0,2
5300,14.2,51.3,218,0,1,2
5650,15,47.8,215,0,1,2
5050,15.8,46.3,215,0,1,2
4650,19.1,39.8,184,1,1,0
3900,17.5,41.1,190,1,1,0
3800,19,49.5,200,1,1,1
3700,18.6,41.4,191,0,1,0
3725,17,40.7,190,1,1,0
3150,18.6,37.9,172,0,0,0
3700,17.1,36,187,1,0,0
5550,15,50.7,223,0,1,2
3250,18.7,51.5,187,1,1,1
6050,17,59.6,230,0,1,2
2850,17.1,36.4,184,0,0,0
5700,16,49.6,225,0,1,2
4400,13.9,45.7,214,0,0,2
3550,18,35.7,202,1,0,0
4750,15,47.7,216,0,0,2
4700,17.6,42.9,196,2,1,0
5150,15.4,46.8,215,0,1,2
5150,15.4,46.8,215,0,1,2
6300,15.2,49.2,221,0,1,2
4925,15.8,49.4,216,0,1,2
4925,15.8,49.4,216,0,1,2
3625,17.8,38.9,181,2,0,0
3450,17,40.2,176,2,0,0
3500,17.7,39.6,186,0,0,0
2975,18.9,37.5,179,1,2,0
3475,18.4,36.6,184,1,0,0
3900,18.9,40.9,184,1,1,0
4700,15,46.4,216,0,0,2
5700,14.3,50.2,218,0,1,2
3675,17.3,49.8,198,1,0,1
3450,19,38.7,195,2,0,0
5400,17.1,52.2,228,0,1,2
3150,18,36.5,182,1,0,0
4200,21.5,46,194,2,1,0
,14.8,46.5,217,0,0,2
4625,,49.1,212,0,0,2
3600,17.3,45.7,193,1,0,1
4500,19.9,53.5,205,1,1,1
3200,17.6,41.1,182,2,0,0
2925,18.6,37.9,193,0,0,0
3400,18.1,43.5,202,1,0,1
3550,18.9,39.7,184,0,1,0
3850,18.3,47.6,195,1,0,1
3800,19.4,50.6,193,1,1,1
3050,15.9,35.2,186,2,0,0
3775,20.3,51.7,194,1,1,1
4700,14.7,41.7,210,0,0,2
4050,19.9,49.3,203,1,1,1
4375,14.1,46.2,217,0,0,2
4650,13.7,45.5,214,0,0,2
,19.8,55.8,207,1,1,1
3350,,42.5,187,1,0,1
3500,17.9,46.5,192,1,0,1
3500,19.2,43.1,197,2,1,0
5500,16.3,51.5,230,0,1,2
3650,18.7,39,185,1,1,0
4400,21.1,34.6,198,2,1,0
4250,18.6,39.2,190,1,1,0
4100,18.8,51,203,1,1,1
3800,18.9,35.3,187,0,0,0
4150,13.5,42,210,0,0,2
3475,17.2,40.6,187,1,1,0
3900,16.8,47.5,199,1,0,1
4300,13.7,45.3,210,0,0,2
4300,18.1,41.1,205,1,1,0
4100,19.1,41.1,188,0,1,0
5400,16.3,48.4,220,0,1,2
4300,20.8,54.2,201,1,1,1
3750,19.1,37.6,194,0,1,0
3900,19.4,37.2,184,2,1,0
3600,17.3,42.4,181,1,0,1
4150,19,52,197,1,1,1
4050,19.7,50.7,203,1,1,1
4050,19.7,50.7,203,1,1,1
4000,19.1,42.1,195,2,1,0
3300,17.9,46.7,195,1,0,1
3800,18.8,50.2,202,1,1,1
3800,18.8,50.2,202,1,1,1
3900,20.7,39.6,191,0,0,0
3825,16.5,38.1,198,0,0,0
3325,18.4,34.4,184,2,0,0
3650,20.6,39.3,190,2,1,0
5600,17.3,50.8,228,0,1,2
4900,13.9,43.6,217,0,0,2
5850,14.6,48.4,213,0,1,2
3200,17.9,40.5,187,0,0,0
3325,17,36.4,195,1,0,0
,17.3,36.2,187,1,0,0
3550,,40.6,183,0,1,0
5850,15.7,49.3,217,0,1,2
4600,14.4,43.4,218,0,0,2
3400,17.9,50.1,190,1,0,1
4950,13.7,42.6,213,0,0,2
3450,17.9,36,190,1,0,0
4650,14.4,46.2,214,0,2,2
5350,15.1,48.7,222,0,1,2
4725,14.6,47.4,212,0,0,2
5150,14.8,49.1,220,0,0,2
2850,16.6,36.5,181,0,0,0
3950,20,38.8,190,1,1,0
5200,15.3,46.7,219,0,1,2
3950,18,41.6,192,0,1,0
3650,19.2,51.3,193,1,1,1
3800,21.2,38.6,191,2,1,0
3950,13.7,42.7,208,0,0,2
5550,15.3,50.4,224,0,1,2
3975,20.1,40.2,200,1,1,0
4150,21.1,39.2,196,1,1,0
3950,19.5,49,210,1,1,1
3700,17.8,36.6,185,2,0,0
3300,20,50.3,197,1,1,1
3600,17,37.6,185,0,0,0
3650,16.5,46.8,189,1,0,1
4550,20,52.8,205,1,1,1
4575,14,43.3,208,0,0,2
3425,17.6,38.1,187,1,0,0
3250,18.2,46.1,178,1,0,1
5000,15,45.5,220,0,1,2
3450,18.6,46.4,190,1,0,1
4750,14.5,45.5,212,0,0,2
3500,18.6,36.9,189,1,0,0
3300,17.8,39.5,188,1,0,0
5850,16,55.1,230,0,1,2
5550,16.1,49,216,0,1,2
4150,18.9,46,195,1,0,1
5450,15.6,52.5,221,0,1,2
4150,21.2,42.3,191,1,1,0
5700,16.3,50,230,0,1,2
3700,16.8,40.9,191,2,0,0
3900,18.1,37.2,178,1,1,0
5100,15.1,46.1,215,0,1,2
4150,18.9,45.8,197,2,1,0
3400,17.5,48.5,191,1,1,1
3950,19.2,38.3,189,1,1,0
3700,17.5,35.5,190,2,0,0
5300,14.1,48.5,220,0,1,2
3050,17.1,39,191,2,0,0
3600,18.7,37.7,180,0,1,0
4600,18.8,39.6,190,1,1,0
3250,16.6,45.2,191,1,0,1
3950,19.5,51.9,206,1,1,1
3550,16.1,36.2,187,2,0,0
5950,16.4,45.2,223,0,1,2
3400,16.5,37,185,1,0,0
3900,19.5,50,196,1,1,1
5250,15.3,47.3,222,0,1,2
3450,19.3,36.7,193,2,0,0
4450,14.5,43.2,208,0,0,2
6000,16.3,51.1,220,0,1,2
4050,19.6,50.5,201,1,1,1
3950,18.9,40.5,180,0,1,0
3350,17.8,37.3,191,1,0,0
3350,17.8,37.3,191,1,0,0
3150,17.2,36.2,187,2,0,0
3800,17.8,46.6,193,1,0,1
3150,17.2,36.2,187,2,0,0
5400,15.9,50.5,225,0,1,2
4725,20,41,203,0,1,0
3900,18.4,39.7,190,2,1,0
3200,16.6,40.9,187,1,0,1
4300,18.3,41.5,195,2,1,0
3050,15.5,32.1,188,1,0,0
3875,18.5,41.4,202,2,1,0
4600,14.2,47.5,209,0,0,2
3700,17.3,47,185,1,0,1
3550,19.1,50.9,196,1,1,1
3300,17.1,37.8,186,2,2,0
4800,14.6,45.4,211,0,0,2
3075,16,37.7,183,0,0,0
5000,14.5,45.1,215,0,0,2
4350,13.6,44,208,0,0,2
4050,18.1,52,201,1,1,1
2900,18.1,34.5,187,0,0,0
4450,18.5,50.8,201,1,1,1
3800,19.2,35.9,189,0,0,0
4500,20.7,42.5,197,2,1,0
3775,18.2,49.6,193,1,1,1
5000,15.2,50.5,216,0,0,2
,,,,0,2,2
4450,19.4,41.8,198,2,1,0
3500,19.8,37.7,198,2,1,0
4400,18.2,49.2,195,1,1,1
3500,17,45.5,196,1,0,1
3800,19.5,36.3,190,1,1,0
3725,19.8,52.7,197,1,1,1
3325,16.4,48.1,199,1,0,1
4600,14.3,48.2,210,0,0,2
5500,15.1,48.1,209,0,1,2
4300,18.9,40.8,208,1,1,0
5500,16.1,46.8,215,0,1,2
4925,13.7,47.2,214,0,0,2
4850,14.7,44.5,214,0,0,2
5400,16.1,49.9,213,0,1,2
3900,20,38.2,190,0,1,0
4400,13.4,43.3,209,0,0,2
3900,18.4,40.8,195,1,1,0
